Manufacturer,Comment,Designator,Footprint
"Diodes Inc","1N4148W-7-F","D1,D2,D3,D4,D5,D6,D7,D8,D9,D12,D13,D14,D15,D16,D17,D18,D19","FP_D_SOD_123"
"Johanson Technology","2450AT18B100E","AE1","FP_ANT_2450AT18B100E"
"Abracon","ABS07-32.768KHZ-9-T","Y1","FP_Crystal_SMD_3215_2Pin_ABS07"
"Diodes Incorporated","AP2112K-3.3TRG1","U4","SOT5P95X290X160N"
"Yageo","CC0402KRX5R6BB104","C7,C8,C10,C12,C33","CHIP_0402"
"Yageo","CC0402KRX5R6BB105","C32","CHIP_0402"
"Yageo","CC0402KRX5R6BB474","C37","CHIP_0402"
"Yageo","CC0402KRX7R7BB104","C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C43,C44,C45,C46,C47","CHIP_0402"
"Yageo","CC0603KRX5R6BB105","C1,C11,C29,C31,C38,C40","CHIP_0603"
"Yageo","CC0603KRX5R6BB225","C3,C39","CHIP_0603"
"Yageo","CC0603KRX5R6BB475","C2,C4,C6,C9,C13,C41,C42","CHIP_0603"
"Yageo","CC0805KRX5R8BB106","C5,C30,C34,C35,C36","CHIP_0805"
"Hosonic","E1SB48E001G00E","Y2","FP_Crystal_SMD_2016_4Pin_E1SB"
"Alps Alpine","EC11E15244A5","SW1","FP_Encoder_EC11"
"Generic","MEMS MIC 2P","J4","FP_MIC_2P"
"PCB Fabrication","MOUNTING-HOLE-M2-PTH-2.2MM-4.0MM","U7,U8,U9,U10","FP_MOUNTING_HOLE_M2_PTH_2P2_4P0"
"OCN Technology","OK-F302-31115","J2","FP_FPC_OK_F302_31115"
"Yageo","RC0402FR-07100KL","R6","CHIP_0402"
"Yageo","RC0402FR-07100RL","R7","CHIP_0402"
"Yageo","RC0402FR-0710KL","R4,R5,R8","CHIP_0402"
"Yageo","RC0402FR-075K1L","R2,R3","CHIP_0402"
"Yageo","RC0402JR-070RL","R1","CHIP_0402"
"Alps Alpine","RKJXV122400R","J3","FP_Joystick_RKJXV"
"JST","S2B-XH-A(LF)(SN)","J1","FP_BAT_2P_2P5"
"SiFli Technologies","SF32LB52EUB6","U6","FP_SiFli_SF32LB52X_QFN68L_7X7"
"SGMICRO","SGM2554","U5","FP_SGM2554_SOT235"
"SG Micro","SGM41562BXG/TR","U1","BGA9C50P3X3_152X152X60N"
"Dongguan OPSCO Optoelectronics","SK6812MINI-E-012","LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25","FP_LED_SK6812MINI_E"
"Samtec","SSW-103-22-SM-D-VS","J5","FP_Socket_2x3_254_SMD"
"HRO","TYPE-C-31-M-12","J6","FP_USB_C_Receptacle_HRO_TYPE_C_31_M_12"
"STMicroelectronics","USBLC6-2SC6","U2","FP_SOT_23_6"
"Winbond","W25Q128JVSIQ","U3","SOIC8P127X790X216N"
"Work Louder","WL-LP-SW-55G","SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18","FP_SW_Choc_V2"
"Sunlord","WPN201610U4R7MT","L1","FP_L_WPN201610U_2016Metric"
